,DMG,DMGCPI,COUNT,DMG2000,DMGCP2000,IS2000,HOURS00,COUNT2000,HS2000,WS2000,WW2000,DMG2010,DMGCP2010,IS2010,HOURS10,COUNT2010,HS2010,WS2010,WW2010,DMG2020,DMGCP2020,IS2020,HOURS20,COUNT2020,HS2020,WS2020,WW2020,POP2000,PNW2000,MICPI2000,MGRCP2000,POP2010,PNW2010,MICPI2010,MGRCP2010,POP2020,PNW2020,MICPI2020,MGRCP2020,AG01,FOR01,URB01,WAT01,AG11,FOR11,URB11,WAT11,AG21,FOR21,URB21,WAT21,ELEV,TMP2000,PCP2000,SNW2000,TMP2010,PCP2010,SNW2010,TMP2020,PCP2020,SNW2020,DMGPOP2000,DMGPOP2010,DMGPOP2020,PR2000,PR2010,PR2020,FIPS,County_low
ARKANSAS,-0.6809200293245969,-0.6257260245828854,-0.19956493896870214,-0.2790829285914355,-0.2788614483655191,-0.24275885161376168,-0.8141082969926652,-0.6495881028627454,-0.5706925138956336,-0.2009281046143618,-0.2672612419124244,-0.6767696854736598,-0.6751981834477935,-0.5127383323892977,-0.8010237328641413,-0.28411935023007867,0.20111672187600763,-0.6048917586933215,0.06861911859163633,-0.31521375043867933,-0.3102603511581072,1.7631546058314675,0.32664901622702097,0.11086870326953119,-0.04672693135159993,-0.4328439118061069,0.022440291494534435,-0.30623779943110296,0.35907234617385003,0.288142675373804,0.010818839452732994,-0.3529023522301202,0.4030670938404724,0.38731065797287184,0.41580745857055895,-0.36311790051826887,0.3321613706644927,1.0125809625857436,-0.02676529116536473,0.8789800722926746,-1.0130152466409836,-0.6525304540279716,0.7483462163873513,0.8959884016962181,-0.9896406442213075,-0.6387576534924173,0.9263996983541737,0.8969304853883007,-0.9656511178896312,-0.6839738219303598,0.8070596598149719,-0.8940106143765566,0.8473295608465575,0.741629043892329,-0.9545345231639263,0.8382243593745142,0.6114674010694381,-0.9937084872954117,0.8589836478799989,0.5519617981280508,-0.7255983193463911,-0.2626688566608558,-0.49972514872627616,-0.32643105288458085,-0.6925879691872848,0.6849491105342015,-0.3576454845842764,57.0,Arkansas
ASHLEY,-0.6217443821970402,-0.5655326149809603,-1.7011457904322385,-0.2345736531504669,-0.2323212300657084,-0.24275885161376168,-0.9038971221145975,-1.1651342162458767,-0.1919142967082662,-1.1628179671299232,-0.2672612419124244,-0.6513554883362485,-0.6491094976451074,2.1092190491468834,-2.036399244469978,-1.9974018641803022,2.2579922865169952,-1.836571810331306,-1.8028113884529928,1.0016195779011507,1.0232915405449154,-0.9173169233042094,-2.035022784100525,-1.2574475712594915,-0.04672693135159993,-0.854445124604263,-1.1427286899524427,-0.23510735663545196,0.7149474046368753,0.618346230819975,0.40750961938623853,-0.30254334083059564,0.5497853899623663,-0.008394369722242638,-0.960026044052618,-0.33292207302084165,0.34644086915103867,-0.0031996838671897723,-1.3021831712828658,-0.4961400635794887,-0.9746459267004198,-0.10045238410263664,0.0028621598763282742,-0.4500473931994603,-0.9515436092872995,-0.15906785006205992,-0.2486435067840742,-0.4249012706236055,-0.9668602338355006,-0.2714962504398413,-0.33791270424159625,-1.0083577642731123,1.606694464987084,1.5594800039974952,-1.3686896968852023,1.5913871868240508,1.1573572583244753,-1.608257967901558,1.6158923998535497,1.3525179891391566,-1.3252668012418243,-0.2331539392343756,-0.4832204999759548,1.3333994250734076,2.059708835528899,4.468604044374602,4.895524276128072,74.0,Ashley
BAXTER,1.173250247338848,0.9399552333996496,2.270777752148729,-0.27486222143755057,-0.2747895955372659,-1.0013802629067672,0.17729802767633768,1.6703694073613458,0.5656421376664686,2.043481574588615,-0.2672612419124244,2.2455897143916843,2.254660649281884,0.3612474614560961,1.7537221221941666,1.8574837922077008,2.2579922865169952,0.6267882929446632,1.2382631854945296,-0.31521375043867933,-0.3102603511581072,-0.9173169233042094,1.5689562135962267,2.4264808601648,3.457792920018384,-0.4328439118061069,2.6117046947100393,0.05634243744372275,-0.9893356026908352,0.011064795977224897,0.7861690002318584,0.04680675236441243,-1.0563188989644883,0.10742173594461937,0.5911587873362585,0.02325610130192162,-1.1367634276808913,-0.01651644595746231,0.8272101590002674,-0.7587676441986526,1.2957340540104922,0.7827030685308723,1.7783810122291361,-0.7562131450597761,1.3182414863405352,0.6269016617333786,1.91291869875288,-0.7778640839757623,1.3623058792790752,0.6721590700970493,2.034552918918275,0.6264172039673503,-1.161948683689183,-2.052274797048611,1.5560264491929936,-1.1887219143255219,-1.80695898857259,1.3143763369439607,-1.159055755270433,-2.2619027157401486,1.444813792780559,-0.261040276197752,0.57868780702303,-0.32643105288458085,-0.49830819473673066,0.2097833118889618,-0.3576454845842764,5.0,Baxter
BENTON,0.35465379540764613,0.25463978227703055,-0.24800303095139686,-0.2750540717627271,-0.2749141733855103,1.2744839709722495,2.297232269373078,2.185915520744477,3.5958678751654074,-1.1628179671299232,3.7416573867739413,0.9516518278793967,0.9683054085973499,1.23523325530149,1.1534266480547828,-0.6053598215957455,-0.484508466337655,2.2690283617953093,-2.0367402018335716,0.07209016966127069,0.032357942433716876,-0.9173169233042094,-0.9539758332463666,-0.8364271790967152,-1.4485348718995934,2.518364577780986,-1.4016551302739932,2.420915712113023,-0.5123420363012655,2.5700278556935623,2.4630891154053147,3.2422406210767987,-0.22375849969798375,2.66295925801045,2.344672074993248,3.854258980857897,0.17804682407896785,3.834636236066818,3.3004117874020307,0.20226998694717838,1.032600440975984,2.426512701011779,0.8776009650507174,0.1377838681765827,1.0481754742367009,2.7905242282633544,0.9741185177795896,0.062462196792597034,1.0042310075092455,3.1106421527354438,1.0538515971896516,1.8754278091972303,-1.534447390821016,-1.169964717141075,2.305468962089437,-1.527833858822716,-1.869541185227251,1.9368997764853082,-1.5327480648353111,-1.1618908853633567,1.4802427897982227,-0.2622738130495579,-0.3986195763753527,-0.29784161867055664,-0.3449294254336616,-0.5839595563025184,0.7566632525365253,1.0,Benton
BOONE,1.0488429658045983,0.8422597442726777,2.8035967639583705,-0.2790829285914355,-0.2788614483655191,-1.0013802629067672,0.40105292734121684,1.6703694073613458,0.5656421376664686,2.043481574588615,-0.2672612419124244,2.05511987132958,2.0786576414739346,1.23523325530149,2.372166064156369,2.8212052063047017,2.2579922865169952,0.42150828433833243,2.2909428457071335,-0.31521375043867933,-0.3102603511581072,3.5501356252552525,1.4616667877045173,2.6369910562461882,2.756888949744387,0.8319597265883616,1.9643885939061632,-0.03489366230399379,-0.9338241607710098,0.21303396095886293,0.40750961938623853,-0.03511104670115151,-1.034355918208373,0.3437072729524593,-0.12373509147774589,-0.04389133736721353,-1.0674380936143464,0.3799661201941889,-0.10439942299860346,0.24466338159248346,1.1366586351552697,0.17733784337007086,-0.23223600742059133,0.24254336781221786,1.0782867245583512,0.0834322078772168,-0.14895446847654717,0.2287982607403725,1.0595652348159297,0.21566413623514322,-0.11978794155736254,1.729829169715565,-1.668663453103485,-1.9418226048775316,2.2993196929150397,-1.6474371172615239,-2.1787055648623452,1.7021802048900967,-1.6431794992973079,-1.9982575600258436,2.076570440240719,-0.2626688566608558,0.6418027156610238,-0.32643105288458085,-0.6925879691872848,-0.2032869562515023,-0.3576454845842764,3.0,Boone
BRADLEY,-0.6914747500110909,-0.633852981744827,-1.0230125026745125,-0.2790829285914355,-0.2788614483655191,0.5158625596792439,-0.5983856244952434,-0.6495881028627454,-0.9494707310830011,-0.2009281046143618,-0.2672612419124244,-0.693439212628306,-0.6904438818694818,-1.3867241262346914,-1.383868757173892,-0.9266002929614124,-0.484508466337655,-1.2207317845123138,-0.048345288098652996,-0.31521375043867933,-0.3102603511581072,-0.023826413592317082,-1.200024075906838,-1.0469373751781033,0.6541770389223968,-2.1192487629987316,-0.7543390294701171,-0.47376438276687177,1.0841415374049284,-0.9701572810594202,-1.1792535003477849,-0.48636972506774506,1.075583156549272,-0.874602326688986,0.07859336479036842,-0.4673590112307674,1.0808096057402798,-0.24935385322657563,-0.91401251211667,-1.2992700176822558,-0.916479227020144,-0.31626511509303284,-0.7784128280871663,-1.2865881466807965,-0.896988844052713,-0.3486672525673752,-0.8026246962376924,-1.270597875474322,-0.9035484924174818,-0.424144615305244,-0.8130705178927928,-0.9275256363644996,1.420859947843153,1.408898710416316,-1.146939824277923,1.3877069046144819,1.3615877182829486,-1.357468639877681,1.4250057150717992,1.6409882103611173,-0.9519130670830599,-0.2626688566608558,-0.5107078120460556,-0.32643105288458085,-0.6925879691872848,-0.9102503563462463,-0.3576454845842764,68.0,Bradley
CALHOUN,-0.6914747500110909,-0.633852981744827,-1.071450594657207,-0.2790829285914355,-0.2788614483655191,0.5158625596792439,-0.512326047701059,-0.6495881028627454,-0.9494707310830011,-0.2009281046143618,-0.2672612419124244,-0.693439212628306,-0.6904438818694818,-1.3867241262346914,-1.422259746799085,-0.9266002929614124,-1.1701336545513175,-1.2207317845123138,0.06861911859163633,-0.31521375043867933,-0.3102603511581072,-0.9173169233042094,-1.3943842516863487,-1.1521924732187974,0.6541770389223968,-1.2760463374024191,-1.0132654697916677,-0.6147095607457688,0.38315439793909917,-0.1419005126483238,-0.4219347386565462,-0.5954749932374983,0.24507815474401723,-0.43650033174082414,-0.23164360148740729,-0.5590040579898173,-0.05944588672438386,0.9358379728077748,-0.004584110641581941,-1.3462384430315957,-0.9027861982847654,-0.14042043034098947,-0.7913223691964515,-1.3245164229942263,-0.8878237811651877,-0.20596906384527935,-0.8086555861018322,-1.3101421252544487,-0.9411377122293344,-0.3068016726642903,-0.8283251210361119,-0.9024031765424442,1.3463055317485566,1.2675217748475893,-0.9899178393570311,1.3278113170431767,1.2700403997119531,-1.2765178964516295,1.3415723659122711,1.4428024820527203,-0.8427875269083843,-0.2626688566608558,-0.5067847104004874,-0.32643105288458085,-0.6925879691872848,-0.9102503563462463,-0.3576454845842764,67.0,Calhoun
CARROLL,-0.08483785284964665,-0.11640576766261099,-0.44175539888217574,-0.2597060457486,-0.25991705112556057,2.033105382265255,1.8196016181653547,2.443688577436043,3.5958678751654074,-1.1628179671299232,3.7416573867739413,0.23294926367088206,0.243545047537954,-0.5127383323892977,0.6334032431317119,-0.8195201358395235,-0.484508466337655,2.2690283617953093,-2.0367402018335716,0.8466980098611707,0.7175945296173649,-0.9173169233042094,-1.2914972794406514,-1.1521924732187974,-1.4485348718995934,1.2535609393865177,-1.4016551302739932,-0.21150685133793537,-0.7100221670185342,-0.259601363896127,0.7501062020560847,-0.20315803710528127,-0.6313834837338387,-0.1288638010632205,0.19999043855123724,-0.18773586218898802,-0.24121555536143088,0.6349066068090147,-0.7920160192358657,0.13257502755649414,1.183049981097559,0.002853773140616859,-0.3985652346916227,0.13501497956855257,1.1708525588344683,-0.07646258849505659,-0.3978364901017556,0.1363061548774469,1.152796932094873,0.016035801178140806,-0.39446759141775956,2.16702585938035,-1.7443782788697948,-2.067224408258494,2.405183261567821,-1.7125309251469374,-2.828034067635544,1.8997885364016254,-1.7223065248348057,-2.013876564269594,2.153609560307064,-0.251198605489407,0.011044226401790456,0.5365115796394262,-0.36231235262134276,-0.9300255563488964,1.1745290289568258,2.0,Carroll
CHICOT,-0.6175917052056327,-0.5628568987293386,-1.7495838824149332,-0.23476550347564348,-0.2325130667596884,-0.24275885161376168,-0.9454925842317866,-1.4229072729374423,-0.5706925138956336,-1.1628179671299232,-0.2672612419124244,-0.6480762370927114,-0.646596413705766,2.9832048429922775,-2.104921344134338,-1.9974018641803022,0.8867419100896702,-1.836571810331306,-1.6858469817627035,2.0086097701610206,2.0339934093417678,-0.9173169233042094,-2.026870092163465,-1.2574475712594915,1.3550810091963936,-1.2760463374024191,-1.272191910113218,-0.44257800076658205,2.1642548448417362,-1.6106422634331645,-0.9989395094689189,-0.4811810054740044,2.182497259698345,-2.2933496211080517,-1.054445990311072,-0.4726784016471986,2.1186232950033377,-1.3867700791844817,-0.8807407413309959,1.2767135770573375,-1.0325365844214518,-0.8700045637451324,4.4664051909438705,1.3392716585156887,-1.009149570067676,-0.8321826132502897,3.9344485076723097,1.4420188308692914,-0.9953778823590126,-0.8529900691154084,2.8275200071757722,-1.080309168133721,1.5586131574654616,1.3001121678998866,-1.4209834958349912,1.5656331944549777,0.5919162710335749,-1.6506265027936522,1.5881380343095928,0.6478647120778583,-1.4060233138800258,-0.21226286465065514,-0.4536028691763373,5.122185434991511,2.6101681964721357,4.468604044374602,4.895524276128072,75.0,Chicot
CLARK,-0.6516782621767692,-0.6025667687950524,-0.5386315828475652,-0.2790829285914355,-0.2788614483655191,0.5158625596792439,0.3999054663172944,0.12373106721195164,-0.5706925138956336,0.4403318037293458,-0.2672612419124244,-0.6305868971271811,-0.6317527681002751,-0.5127383323892977,-0.8847858920463809,-0.7124399787176345,0.20111672187600763,-1.2207317845123138,-0.048345288098652996,-0.31521375043867933,-0.3102603511581072,0.8696640961195752,-0.08848605720807522,-0.5206618849746331,-0.04672693135159993,-0.4328439118061069,-0.6248758093093418,-0.24873726518271108,0.37075008118981206,-0.04870158957856571,0.08294443580427915,-0.2822504717345275,0.4021743261991431,-0.519570812293544,0.33487607606331343,-0.29529172657344666,0.4206190848398626,-0.5662104192508185,-0.5258418529504733,-0.9792902634038921,-0.48659083279051163,-0.4230884930790919,-0.10566180868575183,-0.9756810376539696,-0.516686661517499,-0.44417609335609165,-0.10712649198945018,-0.9671465698656292,-0.6196133661039792,-0.4863004242141199,-0.09270530055355493,-0.5678574458048335,0.8469135106192714,0.5973950714031654,-0.664261800621427,0.838764774985887,1.1679448892250628,-0.9122313463006536,0.8555903225848778,1.0290637999569265,-0.9032657361046884,-0.2626688566608558,-0.4731390261985751,-0.32643105288458085,-0.6925879691872848,0.6408131569050983,-0.3576454845842764,53.0,Clark
